state,industry,reference,percent_change_state_imputed
01,10113300,54.5,0.09152545156907
01,10211000,156.6,0.13148819191143712
01,10212100,50.4,0.04186038676639059
01,10212200,40.8,0.13616477518842618
01,10212300,97.4,0.09897228012058368
01,10213000,314.5,-0.11266935305746695
01,10210000,659.7,0.003731583630766089
01,20000000,7639,-0.0079415183547219
01,30000000,12852,-0.04489237307203786
01,31327100,40.7,-0.02615955474821763
01,31327200,84.8,-0.08580560731879838
01,31331300,57.8,-0.01236586734259526
01,31331400,61.2,-0.09454579813844322
01,31331500,115.9,-0.14173404358329933
01,31332100,100.3,-0.08579813984538309
01,31332200,34.4,-0.10653244854718469
01,31332700,358,-0.063385768022305
01,31332800,140.3,-0.07589627025813639
01,31332994,45.4,0.014945883590915865
01,31333110,75.9,0.005578546246508109
01,31333300,95.4,-0.06150740763189866
01,31333500,176.8,-0.06681964379874084
01,31333600,97.7,-0.0793753943880876
01,31335200,61.8,-0.10306958991985027
01,31336419,88.1,0.03974442827385438
01,31336900,60.8,0.010926995930225614
01,31336600,142.9,-0.013422935932321023
01,31321100,92.9,-0.01846162889404912
01,31321200,84.2,-0.08181225493436017
01,31321990,69,0.005550477001334708
01,31339100,330.7,-0.03582492561522066
01,31339920,43.5,0.02350168564824351
01,31327300,201.9,-0.034910572414539875
01,31327900,98.1,-0.03128144060404836
01,31331100,83.5,-0.0646585138834237
01,31331200,54.8,-0.07919586254376731
01,31332300,404.6,-0.03561256212476349
01,31332400,95.3,-0.016004373191514598
01,31332600,67.7,-0.05958284186929674
01,31332900,283.4,-0.04652604786444503
01,31333120,69.2,-0.0392191416147637
01,31333130,69.6,-0.08924903996038835
01,31335100,47,-0.07185014490160335
01,31335300,145.7,-0.06402584840194636
01,31335900,149.5,-0.01422543843323354
01,31336100,243.1,-0.172544718114244
01,31336200,168,-0.03659806672641619
01,31336300,587.7,-0.05101048559901877
01,31336411,245.1,-0.026455705008166963
01,31336412,91.2,-0.09872212687679205
01,31336413,115.7,-0.03848050077177145
01,31321900,233.6,-0.042064670904164436
01,31339900,292.2,-0.05242174893836471
01,31334100,169.3,0.01988447047769437
01,31334500,433.1,-0.008010826317358388
01,31337000,386.4,-0.08776375586900897
01,31321000,410.6,-0.04537464494816301
01,31327000,425.6,-0.04383600170098034
01,31331000,372.7,-0.08846536757609202
01,31332000,1483.9,-0.05422489005502795
01,31333000,1109.9,-0.05244469909090976
01,31334000,1098.2,5.074804535787347e-5
01,31335000,404.5,-0.054639509233718186
01,31336000,1742.9,-0.05643238090994718
01,31339000,622.9,-0.04296827410618653
01,31334200,84.6,-0.017935701304599205
01,31334400,378,-0.002406037902595415
01,31334600,33.2,0.07788018635953242
01,32311300,81.4,-0.052888870969874824
01,32311400,174,-0.014890057108991939
01,32311500,155.7,-0.008024511076613061
01,32311600,535.5,0.019219218785273662
01,32311811,86.1,-0.14300892450456248
01,32329100,287.4,-0.07266864563520326
01,32329900,37.9,-0.0113124414352338
01,32322100,95.5,-0.01618781132132785
01,32322210,150.1,-0.010470157122207446
01,32324110,68.4,-0.019029937465625868
01,32324190,45.6,-0.1593808146586082
01,32325200,94.2,-0.04849079598644701
01,32325300,37.3,0.028662371935321174
01,32325400,308.2,0.008597757369729786
01,32325500,65.1,-0.03772343171589798
01,32325600,111.2,-0.00269431215440441
01,32326100,608.3,-0.026597804183534635
01,32326210,58.8,0.02234616926315125
01,32326290,78.9,-0.01784291017090378
01,32311100,63.7,0.02116256022441343
01,32311200,60,0.01459270151169767
01,32311800,314.9,-0.0629731924228848
01,32311700,34.9,-0.09215514949116765
01,32311900,234.1,-0.026968597078648404
01,32322220,55.7,0.012531863074979888
01,32322290,61.8,0.015036031847821096
01,32325100,153.4,-0.012268660498415018
01,32325900,81.6,-0.07711418801841896
01,32313000,106.5,-0.12096734354783423
01,32314000,111.3,-0.07825825885097382
01,32315000,105,-0.1657694897584312
01,32323000,417.2,-0.11281327371496674
01,32311000,1655.4,-0.02214947560561542
01,32322000,363.6,-0.006269254020571657
01,32324000,114.3,-0.0810550790597685
01,32325000,851.1,-0.015248315479766572
01,32326000,746.2,-0.02287661028018595
01,41423100,363.2,-0.004346560539525091
01,41423200,115.2,-0.014992669203255038
01,41423300,247.3,0.05378344617617614
01,41423400,696.4,0.03617524195891242
01,41423500,136.6,-0.019507066470214496
01,41423600,358.5,0.03291528058754001
01,41423700,289.5,0.027580733214707
01,41423800,720.5,0.011713322006553062
01,41423930,102.4,-0.024432773369921668
01,41424100,126.2,0.01985034309111322
01,41424300,153.9,-0.09972428756311824
01,41424400,801.5,-0.004784528331625237
01,41424500,69.5,0.10839085774753388
01,41424700,101.1,0.02287256614935851
01,41424800,204.2,0.04086078777804436
01,41424910,120.3,0.041182380140591945
01,44221100,381.7,0.05588221720108222
01,44221200,110.9,0.05129451182626166
